public_petition_text,reason_category
"Газон загрязнен. Просьба устранить проблему, а также сообщить наименование ответственной за уборку организации.",Благоустройство
Песок на амфальте,Благоустройство
"При устранении последствий некачественного косметического ремонта, силами СитиСервис произведена покраска двери на 9 этаже. Покраска произведена двери не полностью, а кусками поверхности, что визуально видно. Дверь в результате испорчена.
Необходимо покрасить дверь полностью в один цвет,",Содержание МКД
На газоне перед окнами парадной №5 бытовой мусор и уборочный инвентарь. Уборочный инвентарь лежит на газоне с осени.,Благоустройство
"1 парадная,не удовлетворительное состояние помещения общего пользования где лифты,сломаны и сколы на наличниках.",Содержание МКД
Провалы плитки во дворе. Прошу восстановить в ближайший агротехнический период.,Благоустройство
Помята труба,Кровля
"Отсутствует исторический элемент оконного заполнения - часть витражного остекления в оконной раме на лестничной площадке между 1 и 2 этажами в парадной 6.
Витражное остекление охраняемый элемент дома, указанный в распоряжении Комитета по охране памятников (КГИОП). 
Прошу в кооперации с компетентным органом власти (КГИОП) в рамках текущего ремонта восстановить витраж.
Выписку Распоржения КГИОП прилагаю.",Содержание МКД
Вырван светильник. Между первым и вторым этажами.,Содержание МКД
Требуется уборка мусора,Благоустройство
Очистить,Благоустройство
в 1 подъезде на входе в подьезд не горит лампа,Содержание МКД
"по адресу: ул. Тельмана, д. 32, корп. 1, пар. № 1

Просьба восстановить накладку на поручни в парадной",Содержание МКД
"Добрый день, необходимо убрать бетонный столб, лежит на газоне (См. фото).",Благоустройство
"Самовольное размещение роллет по адресу: Всеволода Вишневского 10, ближе к проспекту Левашовского. Необходимо убрать роллеты.",Нарушение правил пользования общим имуществом
"Надписи на ТСДД.
Заранее спасибо.",Благоустройство
Требуется проверить законность размещения выделенной рекламной (информационной) конструкции на здании.,Незаконная информационная и (или) рекламная конструкция
Здравствуйте.  Окраска потолока и двери грузопассажирского лифта 1 подьезда повреждена. Прошу покрасить. Спасибо.,Содержание МКД
Мусор в виде кусков бетона,Благоустройство
Прошу убрать мусор,Благоустройство
Огромные сосульки вдоль дома у магазинов,Кровля
"Придорожная аллея 21, 14 парадная, требую убрать рекламные наклейки с почтовых ящиков!",Содержание МКД
"бетонные и тп конструкции на газоне, за помойкой около детского садика",Благоустройство
В арке дома Энгельса 111 несанкционированный трафарет. Требуется закрасить.,Благоустройство
Несанкционированные надписи,Благоустройство
Надписи на щитовой. Удалить надписи.,Благоустройство
Просьба отмыть рекламу в лифте.,Содержание МКД
"необходимо произвести промывку проезда от смета и грязи
не поливку А именно промывку",Благоустройство
Отсутствие фактической уборки на 1 этаже.,Содержание МКД
"Неудовлетворительное состояние стен, надписи. 4 этаж",Содержание МКД
на 6 этаже в 1 парадной  на эвакуационной лестнице нет поэтажной нумерации-необходимо пронумеровать этажи,Содержание МКД
"Все газоны у остановки общественного транспорта по улице Седова 164, с торцов домов по улице Седова 164 и пр. Александровской Фермы 13 превращены в грязь регулярно пракующимися здесь машинами. На прилагающихся фото виден масштаб катастрофы.",Благоустройство
"Прошу снять объявление с дерева, находящегося у северного края газона, разделяющего корпуса 1 и 2 дома 5 по ул. Будапештской",Благоустройство
Гниющие листья.,Благоустройство
Не восстановлен газон после земляных работ. Просто зарыли и разровняли.,Благоустройство
"Двор по адресу ул.Бабушкина, д.27 совершенно не убирается, весь двор покрыт льдом и снегом, песком не посыпается.",Благоустройство
Необходимо удалить граффити в подземном переходе,Благоустройство
"Парадная №10 по адресу: переулок Каховского, дом 7, литера А находится в ужасном состоянии (см. фото). Прошу организовать ремонтные работы в парадной №10 с первого по второй этажи включительно и  
привести в надлежащий вид стены и потолки парадной. А именно: удалить отваливающиеся куски краски и штукатурки, провести обработку против грибка, заштукатурить дефекты и дыры, окрасить равномерно стены, окрасить равномерно плинтусы, побелить стены выше окрашивания и потолки.",Содержание МКД
3 секция. При входе неисправно 2 осветительных прибора.,Содержание МКД
"Сооружение в надписях плохо закрашенных и не закрашенных, устранить все!",Благоустройство
объявление на опоре освещения,Благоустройство
"Входная дверь обшарпана, облупилась штукатурка.",Содержание МКД
Несанкционированные надписи в лифте 7-ой парадной.,Содержание МКД
Перегорела лампочка,Благоустройство
"Не работает лифт 
СПб, п. Шушары, вилеровский пер. д.6, парадная №13",Содержание МКД
не работает освещение перед входом в 2 парадную,Содержание МКД
Надписи на территории детской площадки,Благоустройство
"Во дворе дома по адресу город Колпино, улица Загородная д. 37к2 строение 1 подъезд №3 на детской площадке урна наполнена бутылками. Фото прилагается. Прошу произвести очистку урны.",Благоустройство
не убран снег на дороге и пешеходном переходе,Благоустройство
"Сегодня 19.02 по графику была уборка.
 По факту - её не было. 
Состояние парадной - см на фото.",Содержание МКД
очистить приямок от грязи.,Благоустройство
Надписи на стене.,Благоустройство
"совсем недавно был ремонт тротуара и уже мощение деформировалось, просело, нарушен проектный уклон.
требуется в рамках гарантийных обязательств провести вскрытие мощение, укрепление основания и восстановления ровного покрытия с проектным уклоном в сторону проезжей части.",Благоустройство
Реклама на фонарном столбе.,Благоустройство
Мусор на придомовой территории,Благоустройство
"На газоне железобетонный мусор, надо вывести.",Благоустройство
Много окурков вокруг остановки,Благоустройство
Отваливается краска на стене.,Фасад
"Не выметены поребрики и газон, все в листве.",Благоустройство
Необходимо произвести очистку дорожного знака от объявлений,Благоустройство
реклама на столбе,Благоустройство
"Разноцветный фасад, маляр не попал в цвет. Также не окрашены трубы.",Фасад
"Стоял доводчик на внутренней двери, потом сломался, теперь его совсем нет. на улице холодно, поэтому из-за неисправной внутренней двери в подъезде тоже холодно. Необходим ремонт доводчика. 4 подъезд.",Содержание МКД
"Неухоженный вид деревьев, переросшие ветки висят над проезжей частью, торчат сухие коряги.",Благоустройство
объявления,Благоустройство
"Мусор за всей территории парковки, вдоль кармана на северном проспекте, напротив стоянки дпс",Благоустройство
Просьба очистить. ((,Благоустройство
"В парадной не убирают, висит график за октябрь 2020
Банка каки стояла, так и стоит. Хабарики так и остались лежать там же за лифтом.
Вывешенный график уборки уже отмечен на 19.11.! Адрес на графике указан Новгородская. д.5!!! Убрали хорошо один раз после моего сообщения. Ежедневная влажная уборка со второго этажа каждый день не делается.",Содержание МКД
Реклама на знаке.,Благоустройство
"мусор на придомовой территории
Не до конца убрали грязь ( первый снимок ,что осталось ,последний в первоначальном заявлении ) .И это не всё и вообще мусор не закапывают ,а убирают .",Благоустройство
множество мелкого мусора,Благоустройство
Глубокие ямы с острыми краями. В этом месте часто собирается лужа и ям не видно!,Благоустройство
Просьба прикрепить смягчающую резинку,Благоустройство
"Здравствуйте.

На фасаде указанного многоквартирного дома (МКД)
на уровне третьего этажа
была установлена спутниковая антенна (см. фото)
БЕЗ согласования с КГА
(с Комитетом по градостроительству и архитектуре).

Прошу принять соответствующие меры для демонтажа данной антенны
по аналогии с теми мерами, которые были предприняты
для УСПЕШНОЙ отработки АНАЛОГИЧНЫХ сообщений
по соответствующим УСПЕШНО решённым АНАЛОГИЧНЫМ проблемам:
http://gorod.gov.spb.ru/problems/411323
http://gorod.gov.spb.ru/problems/540305
http://gorod.gov.spb.ru/problems/542973
http://gorod.gov.spb.ru/problems/607403
http://gorod.gov.spb.ru/problems/544572
http://gorod.gov.spb.ru/problems/542839
http://gorod.gov.spb.ru/problems/933708
http://gorod.gov.spb.ru/problems/933710
http://gorod.gov.spb.ru/problems/933713
http://gorod.gov.spb.ru/problems/933716
http://gorod.gov.spb.ru/problems/1966974
Спасибо.",Нарушение правил пользования общим имуществом
Прошу убрать мусор( картонки и бумажки различные),Благоустройство
Надписи на стенах дома.,Благоустройство
Надписи и реклама на будке.,Благоустройство
демонтировать рольставню,Нарушение правил пользования общим имуществом
Бумажные объявления на ТСОДД,Благоустройство
"Надписи на воротах.Фотофиксация- 22.04.2021г., 20:34.",Благоустройство
закрепить провисающий провода ровно и надёжно.,Благоустройство
почините,Благоустройство
Убрать,Благоустройство
"В нашем доме по адресу Санкт-Петербург, ул. Серпуховская, д.6, лестница №3, квартиры с 13 по 30 не работает домофон. Дверь подъезда открывается без магнитного ключа.",Содержание МКД
Повреждение дорожного покрытия тротуара,Благоустройство
очистите о о,Содержание МКД
Разбито зеркало в лифте.,Содержание МКД
"необходимо снять подпорки с деревьев, они уже большие",Благоустройство
"Не работает оборудование в крайнем левом пассажирском лифте. Вишерская 1,к1, Парадная 1. А именно кнопка закрытия дверей не срабатывает уже около года, никто не ремонтирует, хотя счёт в  графе «то лифтов» в квитанции приходит каждый месяц!",Содержание МКД
"Незаконные надписи/объявления на павильоне. 
Просьба очистить.",Благоустройство
Крупногабаритный мусор (железобетон),Благоустройство
Просьба устранить погашение на опоре освещения,Благоустройство
"представитель компании ""чистый город""  мусор с газона переложил на площадку, под скамейки и рядом с урной. необходимо убрать с площадки мусор.",Благоустройство
"не производится уборка, грязно, песок
помыли очень плохо, грязные разводы.",Содержание МКД
"На фасаде нашего дома установлены 4 бетонных вазона, как архитектурный элемент. Две из них от ветра крошились, поэтому были два года назад обмотаны сеткой. Представители ЖКС заверяли, что без проекта ничего больше сделать не могут. Сегодня 24.11.2020 пришли представители ""ЖКС N1 Выборгского района"" с целью демонтировать эти вазоны. Не было предоставлено ни одного разрешающего документа не из районной Администрации, не из Комитета по градостроительству. Убедительная просьба отреставрировать вазоны по всем правилам предусмотренными законодательством РФ с предоставлением собственникам МКД всех проектов и актов, в том числе акта приема передачи на ответственное хранение, если таковое понадобится.",Фасад
Прошу очистить от граффити,Благоустройство
Реклама на стенде.,Состояние рекламных или информационных конструкций
Торговцы продолжают выставлять гнилье на внутридворовую территорию,Благоустройство
Лестницы грязные. Уборщица ужасно выполняет свою работу. Пройдёт проведёт тряпкой и только разводы подставляет. Уборки на 6 и 7 этажах не происходило уже больше месяца. Парадная в ужасном состоянии.,Содержание МКД
Прошу очистить,Благоустройство
Асфальт вокруг люка ужасен,Повреждения или неисправность элементов уличной инфраструктуры
"не работает освещение в подъезде и не работает уличное освещение перед подъездом. подъезд 1
освещение было восстановлено на 1 час 15/12 на фасаде дома, потом сново отключено. И отсутствует освещение сразу после входной двери в подъезд. В самом подъезде свет есть.",Содержание МКД
Засор мусоропровода на 9 этаже парадная номер 7.,Санитарное состояние
"на полосе шириной около метра и длинной порядка 5 метров отсутствует асфальтовое покрытие дворового проезда у здания электроподстанции.
просьба привести покрытие в порядок.",Благоустройство
"Кондакопшино, на углу ул. Полевой и 2-го проезда  мусор на обочине: покрышки от автомобилей и т.п.",Благоустройство
Сломана крышка песочницы на детской площадке: оторваны петли. просьба поменять петли.,Благоустройство
Систематическое нарушение графика уборки подъезда. Подъезд №3.,Содержание МКД
не убран снег,Благоустройство
"В парадной №3 на лестничной площадке у двери на чердак окурки, мусор.",Содержание МКД
"2 парадная.4-й день горячий пар в идет из закрытой двери подвала. Стены, пол, потолки мокрые, с потолков капает вода. Пришлось открыть окна что бы вода испарялась. Отопление отключено.",Водоснабжение
несоблюдение графика уборки,Содержание МКД
Оборванные провода на опоре,Благоустройство
Не производиться ежедневная уборка первого этажа. Последний раз убирали 04.02.2021,Содержание МКД
Не выполняется уборка в 4й парадной,Содержание МКД
"Реализация товаров в местах, не предназначенных для торговли","Незаконная реализация товаров с торгового оборудования (прилавок, ящик, с земли)"
"Сейчас конец апреля, график на МАРТ. В подъезде не убрано. Паутина и мусор. О влажном подметании вообще речи нет.
Какой-то работник регулярно ходит срывает рекламные объявления и БРОСАЕТ НА ПОЛ! Если уж срываете, то будьте добры уносите с собой! Благодарю.
Подъезд 7",Содержание МКД
Не горят лампы в лифте в парадной 2,Содержание МКД
Люк в потолке лифта не на месте. парадная 5.,Содержание МКД
Мусор,Благоустройство
щебёнка,Благоустройство
Грязный лифт. Следы строительного мусора на стенах и панели лифта. Нецензурные надписи на информационном объявлении.,Содержание МКД
"Добрый день! На Суздальском шоссе на мосту через железнодорожные пути  лежит деталь бокового ограждения. Заранее благодарю. С уважением, Ольга.",Благоустройство
В нескольких мусорных урнах отсутствуют внутренние металлические ведра. Одна из мусорных урн повреждена.,Благоустройство
Просьба произвести покраску фасада,Фасад
"Добрый день! После текущего ремонта, в первой парадной (№1) не работает домофон, который обслуживается ООО ""Цифрал"". 02.02. 2020 обратился в вышеуказанную организацию с заявкой о ремонте. 08.02 повторно обратился по поводу ремонта домофона. Мне ответили что мастера были, но так как ведется текущий ремонт парадной, возможности выполнить ремонт не представляется возможным.(ремонт закончился 31.01). 10.02 еще раз поинтересовался ходом выполнения заявки, ответ получил тот же что и 08.02. Запись разговора имеется.",Содержание МКД
Необходимо своевременно убирать урну. Фото от 6 марта 2021 г.,Благоустройство
"Несогласованная решетка.
Первый двор, справа.",Нарушение правил пользования общим имуществом
Провал,Повреждения или неисправность элементов уличной инфраструктуры
"Требуется произвести работы по качественной очистке дорожных знаков и их опоры от несанкционированных рекламных объявлений, не оставляя следов. 

Фотофиксация прилагается.",Благоустройство
"После проведения работ по прокладке канализации уничтожен газон, бордюр и край дорожного покрытия. Застройщик с сентября обещает устранить проблемы, но до сих пор ничего не сделано. На участках находящихся рядом, где также проводились работы газон и бордюр восстановлены.",Благоустройство
"Не убран снег с тротуара, образуется слякоть",Благоустройство
"В течении двух недель отсутствует влажное подметание и мытьё лестниц, присутствует только подпись в листе-графике уборки",Содержание МКД
Бытовой мусор,Благоустройство
Роллет,Нарушение правил пользования общим имуществом
очистите о о,Благоустройство
прошу убрать рекламу,Благоустройство
Просьба убрать граффити,Благоустройство
Надписи и реклама на будке.,Благоустройство
"Возле 1 парадной всегда полные горы мусора в ёмкости для мусора.Никто толком не убирает.Было две мусорки,теперь уже осталась одна,по той причине,что никто их не чистит.Очень обидно,что толком нет дворника.",Благоустройство
"Установлены железобетонные полусферы вдоль жилого дома. Они мешают разъезжаться автомобилям двигающимся по дворовому проезду. 
Места установки:
1) между 10 и 11 подъездом
2) возле 7 подъезда
3) возле 4 подъезда
4) возле контейнерной площадки 
Просьба убрать железобетонные конструкции мешающие проезду и комфортной парковке!",Благоустройство
реклама на дорожном знаке,Благоустройство
Проверить законность размещения вывески,Незаконная информационная и (или) рекламная конструкция
снег на дороге,Благоустройство
"нет освещения, 3 этаж",Содержание МКД
самовольно зашитые оконные створы фасадной части в самом центре СПб.,Нарушение правил пользования общим имуществом
незаконная реклама на опоре освещения,Благоустройство
плохо убранный снег на тротуаре,Благоустройство
"Отсутствует влажная уборка с 1 по 5 этаж лестничной клетки. Просьба помыть качественно всю лестницу, а не расстереть грязь по углам. Влажное подметание не осуществлятся ежедневно первых двух этажей. Спасибо.",Содержание МКД
"Абсолютно грязный лифт. Пол, стены и кнопки необходимо вымыть с антибактериальным раствором! Придорожная 21, 15 парадная.",Содержание МКД
Отсутствие уборки,Содержание МКД
"21 этаж. Нет личинки в замке двери, ведущей с общего балкона на лестницу. Продувание и сквозняк. Прошу устранить.",Содержание МКД
"Здравствуйте. 7 парадная, 3 этаж, дверь из лифтового холла не закрывается, задевает о кафель, требуется починить.",Содержание МКД
"В проезде возле домов 11к1, 15к1 по проспекту испытателей на обочинах большое количество мусора и грязи. Прошу провести механическую очистку.",Благоустройство
нет давления холодной воды,Водоснабжение
На доме 154 по пр. Ветеранов находится несогласованная вывеска частной компании. Собрание собственников не давало разрешения на размещение данной вывески. Просьба демонтировать.,Незаконная информационная и (или) рекламная конструкция
мусор в виде покрышек. нужно убрать,Благоустройство
"Прошу отремонтировать скамейку, на детской площадке. Ребенок может получить травмы.",Благоустройство
"в результате просадки фрагмента ремонтной вставки асфальтового полотна тротуара в зоне пешеходного перехода негерметизированные стыки с основным полотном  раздвинулись и образовались широкие поперечные  разломы/ступеньки со смещениями по вертикали и по горизонтали на всю ширину тротуара
просьба устранить дефекты, создающие препятствия для пешеходов (движении на роликах или самокатах в данном месте очень травмоопасно)",Благоустройство
Большое количество мусора и листвы на газоне.,Благоустройство
"Засорены все стоки для воды. Невозможно пройти от подъезда к подъезду.Вода стоит по , щиколотку. 9 -й подъезд. Под водой лёд, очень опасно ходить.",Благоустройство
Роллет,Нарушение правил пользования общим имуществом
"Неисправен домофон на черной лестнице, дверь не закрывается
Парадная 2",Содержание МКД
"верните часы, крестики-нолики  и ступеньку",Благоустройство
"2 этаж. Пожарная лестница. Осыпается штукатурка в районе батареи, требуется косметический ремонт.",Содержание МКД
дыра в земле возле люка,Повреждения или неисправность элементов уличной инфраструктуры
В пандемию отсутствует уборка в парадной,Содержание МКД
"На фасаде дома, незаконно и без разрешающих документов установлена наружная решётка (на фото выделена графически). Нужно демонтировать незаконно установленную решётку.",Нарушение правил пользования общим имуществом
Неудовлетворительное санитарное состояние лифта. Прошу убрать.,Содержание МКД
Мусор на асфальте,Благоустройство
нет адресной таблички дом Индустриальный пр. 35/1,Фасад
Надписи,Благоустройство
"на 9 этаже, в 1 парадной , в лифтовом холле  наклейки на двери пассажирского лифта-отмыть",Содержание МКД
Закрыт для общего доступа этаж. Нет решения собрания собственников. 2 парадная. 5 этаж. Кв 195-200,Нарушение правил пользования общим имуществом
"Повреждена изоляция: 4 парадная: 2 этаж, 3 этаж, 4 этаж
Между 2 и 3 этажом проблема не устранена!!! Фото прикреплено. В тексте первичного Сообщения указан этот этаж!! 
Прошу Отрабатывать обращение целиком!!",Водоснабжение
Необходимо убрать надписи с дома,Благоустройство
Просел асфальт вокруг люка,Повреждения или неисправность элементов уличной инфраструктуры
"Автомобиль стоит давно, без номеров, с открытыми дверьми и снятым капотом, также продавлена крыша, фары разбиты, стекла опущены, последние время очень активно ломается/разбирается детьми. просьба убрать его с территории.",Благоустройство
демонтировать незаконную рекламную конструкцию,Незаконная информационная и (или) рекламная конструкция
"Здравствуйте ! 
Одесская улица, дом 2, литера А, лестница № 3
Необходимо срочно ( до наступления морозов ) очистить лед у подхода к парадной. Очень надеюсь на вашу помощь. Обращения в Жилкомсервис № 3 никаких результатов не дают. Обработка против-гололедными смесями производиться также не регулярно.
Заранее спасибо ! Фотографии прилагаются.",Благоустройство
не горит,Благоустройство
опять площадка для мусора переполнена. прошу привести площадку в нормативное состояние,Содержание МКД
упавший дорожный знак на въезде во двор между домом 23 и 25 по пр. Косыгина,Благоустройство
Отсутствует занижение бордюрного камня с обеих сторон пешеходного перехода,Благоустройство
Прошу проверить законность установки вывески организации.,Незаконная информационная и (или) рекламная конструкция
Мусор и листва на газоне,Благоустройство
рисунки на ящике,Благоустройство
"Комендантский 64/1 2я парадная

Лестничные пролеты и балконы испачканы строительными материалами и предположительно жидкостью от бытовых отходов, которые раскидывали по лестнице

До сих пор не уложена плитка, хотя дом сдан больше года назад",Содержание МКД
"По адресу ул. Ильюшина д.1, к.1, 3 парадная доводчик и магнит на входной двери находятся в неудовлетворительном состоянии. А именно магнит слабо закреплен, болтается и создает угрозу здоровью жильцов парадной.
Работы не производились. Акт вызывает сомнения.
Ситуация с магнитным замком остается прежним. Он закреплен так же плохо как и до ""акта от РСУ Приморского района"". Люфт и его размер остался прежним. 
Угроза жизни и здоровью, в следствии падения магнита сохранена.

Подтверждаю фотографиями",Содержание МКД
Реклама наркотиков на щите на доме по ул. Крупской д. 8,Благоустройство
"Полностью очистить весь дорожный столб от самоклеящейся рекламы, не оставляя следов бумаги и клея.",Благоустройство
"15 января 2021 года были обнаружены следы протечки в принадлежащей мне Квартире по адресу г.Санкт-Петербург, Светлановский проспект, дом 36, корпус 1, литера А, квартира 
XXX
. Следы протекания обнаружены в коридоре (течет из отверстий межэтажных перекрытий), а также в вентиляционной шахте санузла. О факте протечки незамедлительно сообщено в аварийно-диспетчерскую службу ЖКС №2 Калининского района (241-69-09). Приехавшая бригада обнаружила протечку водостока (трубы отвода дождевой воды с крыши дома). Было обещано передать заявку на ремонт в ЖКС №2. Вода проникает сквозь незаделанную дыру (отверстие) в полу чердака рядом с вент.шахтой (фото приложено). Также отмечено повреждение водостоков (фото приложено).
По состоянию на 22.01.2021 протечка не устранена, есть риск намокания и повреждения электропроводки, в вентиляционной шахте образовался грибок, в квартире отмечается повышенная влажность.
Весь акт - сплошная отписка: 
1) Доступ в квартиру не запрашивался (номер телефона для связи сообщался в аварийку).
2) В изначальном обращении не было речи про лестничную клетку. Натекло в квартиру (несколько ведер) и в вентиляционный канал.
3) Написано, что чердак сухой, но на прикрепленном фото видна лужа под манжетой.
4) Влажность до сих пор повышенная, в вентиляционном канале бело-желтые наросты грибка. Плюс появился резкий неприятный запах.",Кровля
"По обращениям 2187029, 2187022, 2187016 и 3051934 нам обещали проведение ремонта парадной в марте 2021 года в соответствии с адресной программой. На дворе апрель, ремонта нет.

4 этаж. Полоса краски на стене.",Содержание МКД
Незаконно установленный шлагбаум к приезду проверки демонтировали и к 11.12.2020 утру следующего дня установили заново,Благоустройство
"С 25 декабря 2020 года, обращались в   Жилкомсервис Колпинского р-на номер 1, В ГУЖА Колпинского р-на,, в службу 004 , в Администрацию Колпинского р-на, по поводу низкого отопления в квартире по адресу: Бульвар Трудящихся д 36 кв.5. Но всё безрезультатно. Кроме как замера температуры в квартире, никаких действий по устранению неполадки не предпринято.. В квартире холодно, 15 °. Стояки и батареи еле теплые. Квартира угловая. Просим разобраться в данной ситуации.",Центральное отопление
Плохой напор воды в водопроводе.,Водоснабжение
снег на дороге,Благоустройство
Уже неделю перед дверью в подъезд лежит мусор.,Благоустройство
очистите  о о,Благоустройство
рекламная конструкция,Незаконная информационная и (или) рекламная конструкция
"Добрый день. Треснула плитка, обрамляющая домофон. Адрес: проспект Героев, 34, строение 1, 4 подъезд, выход на проспект Героев",Фасад
упавшее дерево,Благоустройство
"2 парадная, 25 этаж: холодный полотенцесушитель уже третий день! В ук поданы три заявки (9, 10 и 11 ноября): стояк развоздушивают, но толку нет, хотя ставят отметку о выполнении. Необходимо проверить насосное и нагревающее оборудование!",Водоснабжение
"сорваны отливы-2шт.
необходимо восстановление.",Кровля
"Требуется произвести работы по демонтажу несанкционированной рекламной таблички с опоры наружного освещения в полном объёме. 

Фотофиксация от 17.03.прилагается.",Благоустройство
не работает. починить фонарь.,Благоустройство
